codigo;escola;longitude;latitude
13031040;EETI Jose Carlos Mestrinho;-59,98681;-3,1283954
13030906;EE Senador Antovila Mourao Vieira;-59,993121;-3,1386503
13029967;EE Brig. Joao Camarao Telles Ribeiro;-59,99095466;-3,140270748
13030744;EE Paula Angela Frassinetti;-60,00186083;-3,137788437
13027328;EE Estelita Tapajos;-60,015015;-3,1423417
13027425;EETI Isaac Benzecry;-60,005167;-3,1462428
13030540;EETI Machado de Assis;-60,015224;-3,1426531
13027654;EE Mestre Otilio;-59,999546;-3,1468523
13030620;EE Monteiro de Souza;-60,008443;-3,1384582
13030809;EE Profa. Diana Pinheiro;-60,005287;-3,1414228
13072102;EE J. G. Araujo;-60,004984;-3,1409796
13089315;EETI Profa. Roxana Pereira Bonessi;-60,005672;-3,1458559
13030590;EETI Maria do Ceu Vaz D'Oliveira;-60,000812;-3,024125
13030140;EE Aderson de Menezes;-60,010402;-3,0805307
13031139;EE Prof. Antonio Maurity Monteiro Coelho;-59,972052;-3,0777413
13087835;EE Prof. Roberto dos Santos Vieira;-59,979259;-3,0053532
13096591;CETI Profa. Cinthia Regia Gomes Do Livramento;-59,921092;-3,0551572
13030710;EE Olga Falcone;-60,030668;-3,0556652
13030833;EE Raimundo Gomes Nogueira;-60,039612;-3,0623536
13031171;EE Rosina Ferreira da Silva;-60,045072;-3,0721972
13030000;EE Tereza de Jesus Azevedo de Vasconcelos Dias;-60,037792;-3,0601385
13031074;EETI Francisca Botinelly Cunha E Silva;-60,035316;-3,0862533
13030361;EETI Goncalves Dias;-60,040539;-3,0869175
13030418;EE Humberto de Campos;-60,034656;-3,079998
13030566;EE Maria Amelia do Espirito Santo;-60,039354;-3,0920886
13030167;EE Profa. Alda Barata;-60,027144;-3,0795502
13027972;EETI Senador Petronio Portella;-60,046171;-3,0843835
13027077;EE Alfredo Fernandes;-60,059335;-3,0740806
13027158;EE Antonio da Encarnacao Filho;-60,064694;-3,0753527
13030302;EE Francelina Dantas;-60,051052;-3,0791267
13030477;EE Prof. Jose Ribamar da Costa;-60,069795;-3,0681166
13031198;EE Senador Manuel Severiano Nunes;-60,049812;-3,0794278
13030582;EETI Maria de Lourdes Rodrigues Arruda;-60,053229;-3,082917
13027832;EE Prof. Waldir Garcia;-60,04915;-3,0773812
13030949;EE Thome de Medeiros Raposo;-60,03761816;-3,050983718
13027760;EE Giovanni Figliuolo;-60,033242;-2,9059933
13027255;EE D. Milton Correa Pereira;-59,968081;-3,0353681
13027310;EE Engº Arthur Amorim;-59,971872;-3,0467767
13031104;EE Profa. Lenina Ferraro da Silva;-59,959982;-3,0215285
13030817;EE Profa. Hilda de Azevedo Tribuzy;-59,982298;-3,0303916
13030892;EE Sebastiao Noroes;-59,981274;-3,0191901
13030914;EE Senador Joao Bosco Ramos de Lima;-59,97891;-3,0293865
13025767;Centro Educacional Arthur Virgilio Filho;-60,0099;-2,9865149
13027123;EE Desembargador Andre Vidal de Araujo;-59,986897;-3,0333079
13027247;EE Dom Joao de Souza Lima;-59,982367;-3,0394839
13027280;EE Dr Jose Milton Bandeira;-59,999174;-3,0298653
13031082;EE Francisca de Paula de Jesus Izabel;-59,969936;-3,012302
13030400;EE Homero de Miranda Leao;-59,988794;-3,0193441
13030426;EE Inspetora Dulcineia Varela Moura;-60,007074;-3,0247792
13030469;EE Prof. Jose Bernardino Lindoso;-59,956256;-3,0376177
13030159;EE Agnello Bittencourt;-60,0656;-3,0881047
13030965;EE Waldemiro Peres Lustoza;-60,065421;-3,1043851
13030248;EE Cacilda Braule Pinto;-59,983163;-3,0905654
13030574;EETI Profa Maria Arminda Guimaraes de Andrade;-59,978171;-3,0875326
13030647;EE Profa. Myrthes Marques Trigueiro;-59,981315;-3,0884631
13027905;EE Prof. Reinaldo Thompson;-59,982601;-3,0930852
13030019;EE Benedito Almeida;-59,936844;-3,1271191
13055216;EE Profa. Alice Salerno Gomes de Lima;-60,01472295;-3,086253745
13027107;EETI Altair Severiano Nunes;-60,017887;-3,090415
13030612;EE Menino Jesus de Praga;-60,025837;-3,0902158
13030493;EE Profa. Leonilia Marinho;-60,01524039;-3,086355797
13027948;EETI Santa Terezinha;-60,005184;-3,0888652
13027590;EE Marechal Hermes;-60,05839;-3,0867724
13031031;EE Profa. Bernardete do Socorro Trindade da Rocha;-59,939912;-3,0652991
13030353;EE Gilberto Mestrinho;-59,890845;-3,0865899
13031066;EE Dr Isaac Sverner;-59,946741;-3,0659519
13027620;EETI Maria Madalena Santana de Lima;-59,942898;-3,089292
13031163;EE Maria Teixeira Goes;-59,944662;-3,0817934
13031511;EE Rilton Leal Filho;-59,942114;-3,0890849
13030027;EE Vasco Vasques;-59,926813;-3,0293017
13055194;EE Arlindo Vieira dos Santos;-60,008187;-3,0205888
13066846;EE Elira Pinheiro;-59,953139;-3,0267709
13071670;EE Manuel Antonio de Souza;-59,89685;-3,0929362
13075390;EE Prof. Waldocke Fricke de Lyra;-60,033813;-3,0036181
13076841;EE Dom Jacson Damasceno Rodrigues;-59,961135;-3,0629809
13075098;EE Prof. Juracy Batista Gomes;-59,951011;-3,0455997
13074369;EE Prof. Jorge Karam Neto;-59,948625;-3,0555648
13079638;EETI Cid Cabral da Silva;-59,96006;-3,0207338
13080598;EE Profa. Sebastiana Braga;-59,982218;-3,0401087
13081381;EE Leticio de Campos Dantas;-59,956458;-3,0250872
13080547;EE Roderick de Castello Branco;-59,939383;-3,0645313
13080539;EE Padre Luis Ruas;-59,94961;-3,0809108
13080580;EE Prof. Cleomenes do Carmo Chaves;-59,930078;-3,0285282
13078615;EE Ernesto Penafort;-59,953351;-3,0572008
13078143;EE Prof. Dorval Varela Moura;-59,975368;-3,0103319
13080563;EETI Marcantonio Vilaca;-60,001667;-3,0368782
13080571;EE Prof. Julio Cesar de Moraes Passos;-59,996765;-3,035799
